Dấu thời gian,"Khi nhắc đến một chiến dịch/quảng cáo “xanh” ấn tượng (bảo vệ môi trường, bền vững,...) bạn sẽ nhớ ngay đến thương hiệu nào?",Các thông điệp truyền thông về bảo vệ môi trường của [Thương hiệu] thường thu hút sự chú ý của tôi.,Tôi có thiện cảm với [Thương hiệu] khi nó truyền tải các thông điệp về bảo vệ môi trường.,Các thông điệp truyền thông của [Thương hiệu] cung cấp thông tin rõ ràng và đầy đủ về các cam kết bảo vệ môi trường của thương hiệu.,Tôi tin rằng [Thương hiệu] luôn chia sẻ trung thực về các hoạt động bảo vệ môi trường của mình.,Tôi cho rằng các hoạt động bảo vệ môi trường của [Thương hiệu] phản ánh đúng giá trị cốt lõi của thương hiệu.,Tôi tin rằng [Thương hiệu] thực hiện đúng những cam kết về bảo vệ môi trường mà thương hiệu đã tuyên bố.,Tôi có thể dễ dàng nhận ra [Thương hiệu] giữa các thương hiệu khác nhờ những cam kết về bảo vệ môi trường của thương hiệu.,Tôi biết đến [Thương hiệu] nhờ danh tiếng về bảo vệ môi trường của thương hiệu.,"Khi đưa ra quyết định mua sản phẩm xanh, [Thương hiệu] là thương hiệu sẽ xuất hiện đầu tiên trong tâm trí tôi.",[Thương hiệu] đáp ứng được kỳ vọng của tôi trong khi vẫn mang lại lợi ích cho môi trường.,"Đối với tôi, [Thương hiệu] là thương hiệu tiêu biểu về chất lượng thân thiện với môi trường.",[Thương hiệu] duy trì được chất lượng sản phẩm thân thiện với môi trường theo thời gian.,Tôi ưu tiên lựa chọn [Thương hiệu] hơn các thương hiệu khác nhờ những cam kết về bảo vệ môi trường của thương hiệu.,"Nếu thương hiệu khác có hiệu quả bảo vệ môi trường tương đương, tôi vẫn sẽ ưu tiên mua sản phẩm của [Thương hiệu].","Ngay cả khi các thương hiệu khác có các đặc tính thân thiện với môi trường tương tự, tôi vẫn cho rằng [Thương hiệu] là lựa chọn hấp dẫn và đáng mua hơn.",Giới tính của bạn là ,Độ tuổi của bạn là,Bạn có thường quan tâm hay tìm kiếm mua các sản phẩm của những thương hiệu thân thiện với môi trường không?
06/06/2026 17:25:33,Đã từng,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,
06/06/2026 17:27:08,Đã từng,5,4,4,5,4,5,5,4,5,4,5,4,5,4,5,,,
06/06/2026 21:07:54,Đã từng,4,5,4,4,4,4,3,4,4,4,4,3,3,3,3,,,
06/06/2026 21:09:50,Đã từng,4,4,4,5,4,5,4,4,4,4,4,4,5,4,5,,,
06/06/2026 21:11:47,Đã từng,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,
06/06/2026 21:23:57,Đã từng,5,4,5,5,4,4,5,4,5,5,5,4,5,4,5,,,
06/06/2026 21:27:08,Đã từng,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,,,
06/06/2026 22:55:23,Đã từng,3,2,2,1,1,1,1,2,2,2,1,1,2,2,2,,,
06/06/2026 22:57:53,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
06/06/2026 22:58:02,Đã từng,1,1,4,4,4,5,4,2,3,3,4,5,4,5,2,,,
06/06/2026 23:00:23,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
06/06/2026 23:04:56,Đã từng,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,,,
06/06/2026 23:27:30,Đã từng,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
06/06/2026 23:31:18,Đã từng,3,5,4,5,5,5,5,4,4,4,4,4,4,5,5,Nam,Từ 18 đến 30 tuổi,Có
06/06/2026 23:51:55,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Dưới 18 tuổi,Có
07/06/2026 0:05:35,Đã từng,4,4,4,3,4,4,3,4,4,4,4,4,4,4,5,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 0:48:08,Đã từng,4,5,4,4,4,3,4,4,3,4,4,3,4,5,4,Nữ,Trên 45 tuổi,Có
07/06/2026 1:28:18,Đã từng,5,5,4,4,5,5,5,5,5,4,4,5,4,5,4,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 1:38:35,Đã từng,4,5,4,4,5,5,4,4,5,3,4,4,5,4,4,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 1:45:05,Đã từng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 1:45:24,Đã từng,5,5,5,5,4,5,4,4,4,3,4,4,5,5,4,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 3:41:17,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 5:55:59,Đã từng,2,1,3,2,3,3,2,2,1,2,2,2,2,1,2,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 6:48:03,Đã từng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 7:01:08,Đã từng,3,4,4,4,5,4,4,5,3,4,5,3,2,3,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 8:17:45,Đã từng,4,5,4,4,4,4,5,4,4,4,4,4,4,3,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 8:52:33,Đã từng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nữ,Trên 45 tuổi,Có
07/06/2026 9:57:25,Đã từng,4,5,5,5,5,4,5,4,5,4,5,4,4,3,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 10:02:08,Đã từng,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 10:14:27,Đã từng,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 13:57:58,Đã từng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 14:35:34,Đã từng,4,4,5,5,4,5,3,4,3,4,4,5,3,4,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 16:34:14,Đã từng,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 16:35:44,Đã từng,5,5,5,4,5,4,4,4,4,3,5,5,3,3,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 16:47:40,Đã từng,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 16:58:54,Đã từng,3,4,3,2,4,2,5,3,4,4,5,4,3,4,4,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 16:59:26,Đã từng,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 18:38:17,Đã từng,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 18:38:57,Đã từng,5,5,5,4,5,5,4,4,4,5,4,5,5,5,5,Nam,Từ 18 đến 30 tuổi,Có
07/06/2026 18:39:08,Đã từng,4,4,3,3,3,4,4,2,3,4,3,3,3,2,3,Nữ,Từ 18 đến 30 tuổi,Có
07/06/2026 18:42:48,Đã từng,4,4,4,4,4,4,4,4,5,5,4,5,4,5,5,Nam,Từ 18 đến 30 tuổi,Có
